source_platform,original_job_id,job_title,original_job_title,company_name,min_salary,max_salary,is_negotiable,experience_years,job_url,skill_name,raw_job_description
1111,130322458,助理工程師,工程師及助理工程師(新竹),赫發科技股份有限公司,33000,49000,0,0,https://www.1111.com.tw/job/130322458,Excel,"Excel,PowerPoint,Word，1. 執行半導體機台維護及維修作業。  
2. 協助安裝、修改、偵錯各種軟體。  
3. 工作場域為晶圓廠，須於無塵室進行廠內機檯維修。  
4. 檢查物料/清點報表了解產線所需。  
5. 主管交辦事宜。,收合內容"
1111,103814411,工地品管員／工程師,營造工程師,一百營造股份有限公司,50000,65000,0,5,https://www.1111.com.tw/job/103814411,"Excel,AutoCAD","AutoCAD,Excel,Project,Word,工程品質管理,工程協調及問題處理,工地工程稽核和驗收,工程施工管理監督,監工日報表紀錄填寫，1. 指揮並監督現場，以控制工程的執行進度與施工品質。
2. 具備圖面檢討，審查能力，前期規畫作業及施工圖說審查，施工細部圖面檢討，圖面整合能力等工程計畫能力。
3. 與業主，施工廠商及設計單位討論及解決，如工序，鄰房和建築相關等事務。
4. 指導監督技術員施工。
5. 轉達施工要領，矯正不良施工，並協助解釋施工規範問題。
6. 現場安衛執行及查核。審查與檢閱專案之規劃，以監控是否遵守建築，安全法規及其他章程。
7. 工程施工進度管理，工程品質稽核及驗收。,收合內容"
1111,132219426,工務助理,助理工程師,興總建設股份有限公司,35000,42000,0,0,https://www.1111.com.tw/job/132219426,"AutoCAD,C語言","AutoCad 2D，a.成屋管理:督導各承包商依進度施工。 
b.執行工地安全、衛生管理。 
c.填具工程請款單。
d.配合客服部門辦理交屋事宜。,收合內容"
1111,54512334,客服工程師,服務助理工程師,浩翰有限公司,36000,43200,0,0,https://www.1111.com.tw/job/54512334,,"，我們是一家專注於國際貿易與貿易代理的公司，涵蓋多元產品與服務，從技術支援到售後客戶服務，致力於為客戶提供高效且專業的解決方案。我們的核心客群涵蓋零售業以及其他與貿易相關的企業，透過全方位的服務助力企業在全球市場中蓬勃發展。
工作內容：
1. 基礎實驗室儀器及設備之日常維護與故障排除，確保儀器正常運作。
2. 定期檢測儀器設備，保養與維護。
3.. 協助客戶解決技術問題，快速回應並提供有效的解決方案。
7. 培訓新進人員，提供專業的在職培訓，讓無經驗者也能快速適應。
我們歡迎對技術支援與客戶服務有熱情的您加入我們，透過專業培訓與實際操作，迅速提升您的專業技能，成為團隊中不可或缺的一員！立即投遞履歷，期待您的加入！,收合內容"
1111,77329382,電子／通訊工程助理,專案助理工程師,廣昇科技股份有限公司,40000,48000,1,0,https://www.1111.com.tw/job/77329382,Excel,"Excel,Outlook,PowerPoint,Word，如果你在找工作，那可以來試試，給彼此一個機會，也許會找到屬於你的天空。
～主要工作為協助專案經理進行工程執行，並回報現場專案進度。
對我們而言～學歷不重要，但＂態度＂勝於一切～
我們非一般行業，因為非一般所以可貴，只是大都為夜間工作或者出差，因配合鐵道業營運時間，不像製造業需做足12小時，從進場到出場，工作頂多不超過６小時，再不離開也會被趕出場，工作結束後，剩下時間都是您的。
換個方向思考，寓工作娛樂，因為四處出差，所以看到台灣各地不一樣的風景，省了車資和住宿費，而製造業，每天上班千律一遍的工作，像個機器人，學習不到工作以外的事項，比如家裡的小水電可以自己來，其它利己的事，族繁來不及備載。
我們最辛苦的工作就是夜班及出差，還有要會開車，我們有資深人員會指導作業，並不會放任新人獨自摸索作業，即便您很厲害，但我們還是會派人指導，畢竟對您都是新環境。
在這個新時代，每個人都是千里馬，但千里馬是需要伯樂來取得成就的，所以希望我們來成就彼此。,收合內容"
1111,130167324,電腦組裝／維修,硬體維護工程師,富博科技股份有限公司,33000,38000,0,1,https://www.1111.com.tw/job/130167324,"Linux,Windows Server","Ethernet,LINUX,Windows 10,Windows Server,裝配電腦設備,硬體整合測試,資訊設備環境設定,資訊系統安裝與維護,網路系統測試，1.電腦軟、硬體與週邊設備印表機的維護
2.伺服器主機維護
3.組裝後對電腦與週邊設備作測試，確認安裝與正常使用無誤
4.解決客戶或公司內部對電腦軟、硬體與週邊設備使用時的突發狀況
5.linux作業系統安裝維護。
6.vmware操作維護
7.認真負責對網路硬體相關有興趣
8.客戶皆為醫院,能獨立運作,面對客戶解決問題
9.須外出到客戶端進行相關維護工作。
10. 需值班(on call)，可接受系統上線派遣。
11. 抗壓性高，喜歡與人互動、溝通。,收合內容"
1111,76829743,國內業務人員,南部-業務工程師,鋒碩自動化股份有限公司,35000,45000,0,1,https://www.1111.com.tw/job/76829743,"Excel,AutoCAD","AutoCAD,Excel,Outlook,Word，~~有專人帶領~~
1.開發潛在客戶，拓展市場，以達成業績目標。
2.拜訪客戶，維繫穩定客戶關係。
3.負責國內業務接洽及訂單處理。
4.負責產品報價及產品展示，並處理帳款回收相關事宜
5.負責業務推展，傳達及說明公司各項業務重大訊息、活動及產品。

※薪資不含獎金，業績達標者，每月績效獎金另計,收合內容"
1111,86031289,電機維修人員,高雄區-維修工程師,菲律賓商百樂機器股份有限公司台灣分公司,35000,42000,0,0,https://www.1111.com.tw/job/86031289,,"，1.高空作業車維護及整修。 
2.車體電子零組件及油電路查修。
3.須外出維修車輛及保養服務。(公司配車及配機),收合內容"
1111,132181527,電機技師／工程師,電力設備工程師(南投),名間電力股份有限公司,36000,43200,0,0,https://www.1111.com.tw/job/132181527,,"，水力發電機組平日運轉及維護保養,收合內容"
1111,132207431,客服工程師,售後服務維修工程師,雕坊科技有限公司,40000,48000,1,1,https://www.1111.com.tw/job/132207431,Excel,"Excel,Outlook,PowerPoint,Word,電子儀器設備操作與裝配能力,電子產品測試，1.進行例行性售後服務。
2.處理並改善客戶遇到的異常狀況。
3.雷射雕刻切割機臺保養和維修。
4.撰寫維修報告和技術文件。
5.蒐集產品資訊與尋找相關料件。
6.需可配合公司國內外出差。
7.其他主管交辦事項。

產品維修人員是公司重要的職位，公司提供完整教育訓練。本職位具有良好的發展前景，歡迎有志之士加入。
歡迎有志之士加入，立即應徵！,收合內容"
