source_platform,original_job_id,job_title,original_job_title,company_name,min_salary,max_salary,is_negotiable,experience_years,job_url,skill_name,raw_job_description
Yes123,c20221021103553_177881,營造工程師,工程師,臻鑫開發有限公司,36000,50000,0,0,https://www.yes123.com.tw/wk_index/job.asp?p_id=c20221021103553_177881&job_id=20241128165023_13532058,,"1.現場施工管理.工程進度掌握及品質計畫執行能力
2.工作地點:台中市全區(依建案位置)
3.土木.建築相關科系"
Yes123,c20231019135638_2971460,FAE工程師,FAE工程師,實理材料股份有限公司,35000,42000,0,0,https://www.yes123.com.tw/wk_index/job.asp?p_id=c20231019135638_2971460&job_id=20231023133653_839167,,"1. 材料品質檢測
2. 樣品製作
3. 終端客戶產線客服
4. 海外產線架設"
Yes123,20251209111133_65780318,生產技術／製程工程師,CNC工程師,宏沂企業有限公司,40000,55000,0,3,https://www.yes123.com.tw/wk_index/job.asp?p_id=20251209111133_65780318&job_id=20251209115809_7458331,,"1.須能獨立作業,並具開發能力
2.操作CNC機器，研磨、切割金屬或塑膠原料。
3.CNC上下料，安裝工件和刀具，更換刀具與補正，量測工件。
4.掌控線上物料，進行換線與對刀作業。
5.維護機台，排除故障問題。"
Yes123,20241128151006_75058272,內業工程師,工程師,賴碧華建築師事務所,40000,40000,1,0,https://www.yes123.com.tw/wk_index/job.asp?p_id=20241128151006_75058272&job_id=20241129091931_23246579,,"1.諳工程繪圖軟體 

2.協助執行工程專案各階段工作(需與業主/廠商溝通) 

3.指導並管理、履約完成工程專案

歡迎所有求職者"
Yes123,20120531114917_24207516,軟體工程師,python 工程師,昶鈜科技有限公司,38000,40000,0,0,https://www.yes123.com.tw/wk_index/job.asp?p_id=20120531114917_24207516&job_id=20260117004211_35949628,Python,"1. 網站的管理及維護								
2. 撰寫及開發程式 python"
Yes123,20250714111041_78930953,營造土木技師／工程師,現場工程師/內業工程師 （土木工程師）,沅垣營造事業有限公司,36000,48000,0,2,https://www.yes123.com.tw/wk_index/job.asp?p_id=20250714111041_78930953&job_id=20250715105808_25401788,AutoCAD,"1.現場會勘、測量、拍照、紀錄資料及材料收集估算。
2.操作使用工程繪圖(AUTO CAD)，協助現場進度及施工管控。
3.後勤工作支援。
4.協助進度 成本控管
5.協助聯絡相關人機物料（料商 工班 業主 監造）
6.協助清圖說 撿料（要會看土木工程圖）
7.協助測量放樣
8.具機車、普通小型車駕照
9.主管其他交辦事項。
※有時須配合工地上班時間(提早或延後)"
Yes123,20200723172931_54269778,電腦繪圖人員,工程師,百大工程顧問股份有限公司,40000,40000,1,0,https://www.yes123.com.tw/wk_index/job.asp?p_id=20200723172931_54269778&job_id=20250317175558_23884609,,".1.諳工程繪圖軟體 

2.協助執行工程專案各階段工作(需與業主/廠商溝通) 

3.指導並管理、履約完成工程專案

歡迎所有求職者"
Yes123,20130305162702_28141353,營造工程師,估算工程師/鋼構工程師,群創工程企業有限公司,50000,65000,0,2,https://www.yes123.com.tw/wk_index/job.asp?p_id=20130305162702_28141353&job_id=20240415162541_6393323,AutoCAD,"1.工程標前估算 訪價 標單和工程數量核對
2.現場配合工地丈量
3.鐵件工程估算及工程材料規範熟悉
4.圖面整理 圖面釋疑與識圖
5.廠製前置作業 進度規劃及督導進度及品質作業
6.計畫書編製 自檢表 檢驗表及施工圖繪製整理
7.與業主及廠商計價與數量計算
8.與業主及廠商溝通協調
9.其他主管交辦事項
10.具備英文聽說及英文圖紙 技術規範辨識能力
11.具基本文書處理及AUTO CAD繪圖能力
12.固定或變動薪資會依個人資歷或績效而異"
Yes123,20130917160503_27963345,作業員／包裝員,工程師,慶騰科技有限公司,32000,32000,0,0,https://www.yes123.com.tw/wk_index/job.asp?p_id=20130917160503_27963345&job_id=20260107175451_3271768,,"1. 零件組裝清洗
2. 廠區清潔整理
3. 主管交代辦事項
4. 廠內其他協助事項"
Yes123,20210419104924_54829532,產品售後技術服務,工程師,基爾科技工程有限公司,30000,33000,0,0,https://www.yes123.com.tw/wk_index/job.asp?p_id=20210419104924_54829532&job_id=20260311101729_46746780,,"配合客戶端安裝機構,無經驗可"
