source_platform,original_job_id,job_title,original_job_title,company_name,min_salary,max_salary,is_negotiable,experience_years,job_url,skill_name,raw_job_description
Yourator,38537,AI工程師,工程師,科技報橘｜流線傳媒 Fusionmedium,40000,40000,1,2,https://www.yourator.co/companies/fusionmedium/jobs/38537,OpenAI API,"1. 生成式AI專案開發： 設計、實施和優化生成式AI專案以解決問題。
2. 數據前處理： 清理和處理數據，確保資料品質，以支援AI專案的訓練和測試。
3. LLM搭配模型評估和優化： 評估LLM搭配與模型性能，進行專案調整和優化，確保專案可達到預期效果。
4. AI運用： 研究、評估和應用最新的人工智慧技術，保持在快速發展的領域中的競爭力。"
Yourator,42200,軟體工程師,iOS 工程師,SAT. KNOWLEDGE 知識衛星,50000,75000,0,2,https://www.yourator.co/companies/Sat-Knowledge/jobs/42200,Swift,"【職務內容】
1. iOS App 開發"
Yourator,42199,軟體工程師,Android 工程師,SAT. KNOWLEDGE 知識衛星,50000,75000,0,2,https://www.yourator.co/companies/Sat-Knowledge/jobs/42199,Kotlin,"【職務內容】
1. Android App 開發"
Yourator,46587,後端工程師,(Zuggoi)全端工程師,上洋股份有限公司,40000,40000,1,3,https://www.yourator.co/companies/upyoung/jobs/46587,"GCP,JavaScript,Next.js","冷氣安裝媒合平台| 把專業服務，用平台重新定義
Zuggoi 是上洋產業旗下的新平台事業單位
我們正在做一件不太像傳產、但非常落地的事：
把高度專業、長期缺工的冷氣安裝產業，用數位平台重新設計一次。
如果你期待：
• 工作成果能真的被使用
• 不只是照規格做事，而是參與平台成長
• 在穩定產業中，做新創該做的事
【工作內容】
1. 負責整體平台後端邏輯、雲端部署與系統穩定性。
2. 使用Next.js API Routes開發與維護平台後端功能。
3. 設計與實作API（資料流、驗證、權限、錯誤處理）。
4. 與前端工程師、產品經理協作，將產品需求落實為系統功能。
5. 資料庫設計與效能優化。
6. 將系統部署於Google Cloud Platform（GCP）。
7. 參與平台架構設計與技術選型（Serverless、雲端服務）。"
Yourator,46617,後端工程師,【圖靈】AI後端工程師,永豐金證券股份有限公司,40000,40000,1,0,https://www.yourator.co/companies/securities-sinopac/jobs/46617,,"我們正在尋找一位
充滿熱情的 AI 後端工程師
，來加入我們！ 在這個快速變化的金融科技領域中，你將有機會與最前沿的技術一起工作，開發創新解決方案，利用 AI 技術來提升業務效率，並增強客戶體驗，為客戶提供卓越的數位金融服務。
1.設計、開發、維護AI應用的後端架構，確保系統的穩定性和高效性能。
2.參與AI模型於金融場域的部署與架構建置，提升客戶服務與風險管理效率。"
Yourator,38397,網路管理工程師,[SEC] 資安產品工程師,動力安全資訊股份有限公司 Dynasafe,38000,55000,0,2,https://www.yourator.co/companies/dynasafe/jobs/38397,,"1. 上網安全防護(Web Security)
2. 資料外洩防護(DLP)
3. 熟悉代理的相關資安產品，提供客戶產品技術支援與維護。
4. 專案計劃執行，包含客戶技術諮詢，產品PoC、安裝建置、系統設定、故障排除、教育訓練等。"
Yourator,46492,系統工程師,AI 與數據應用工程師 Al & Data Application Engineer,苗林實業股份有限公司,40000,40000,1,0,https://www.yourator.co/companies/miaolin/jobs/46492,"Agile,ERP","【職位目標】
作為數位發展部的技術核心，您將共同實踐苗林的數位發展藍圖。您必須是具備商業思維，兼具技術能力的合作夥伴，您的核心價值在於：透過對資料流的理解與數據分析發現營運痛點，並利用技術（Al/RAG/自動化）提出最佳解決方案，運用靈活的技術手段，串聯 ERP、CRM 與企業知識庫，打造高價值、高敏捷度的數據應用服務，協助業務決策與增加營運效率。
【工作內容】
1. 數據整合與數據資產活化
• 多元資料串接：負責規劃並實作跨系統的數據儲存與資訊流，打通 ERP、Salesforce 與 GoogleWorkspace 之間的數據隔閡。
• 數據資產活化：針對數據進行清洗與轉換，建立可供分析與應用調用的高品質數據池，確保營運數據的即時性與準確性。
2. 企業知識庫與AI應用開發
RAG架構實作：運用 RAG（檢索增強生成）技術，將公司豐富的內部文件（產品履歷、技術文件、提案簡報）轉化為企業專屬的 AI知識庫及應用來源。
• 智能應用落地：開發貼近業務與營運場景的AI應用，協助團隊解決問題，創造價值。
3. 流程自動化與敏捷開發（Automation & Agile Development）
• 工作流優化：觀察公司營運流程，主動識別優化機會，創造並導入自動化工具，解決繁瑣的人工斷點。
• 快速迭代產出：我們追求實用性與靈活性。您將負責開發MVP（最小可行性產品）快速驗證想法，並根據使用者回饋持續優化應用服務。"
Yourator,46564,流程自動化工程師,AI DX 工程師（初級）,日商卓一智能科技股份有限公司台灣分公司,40000,40000,1,0,https://www.yourator.co/companies/hitobito/jobs/46564,Python,"公司介紹：
打造 AI 驅動廣告的未來！
我們是一家專注於 “廣告 × AI × 創意科技” 的技術新創公司，致力於開發 AI 驅動的系統，為全球企業生成並傳遞高效能的廣告圖片、影片與互動式體驗。
我們的產品可無縫整合至客戶的網站與行銷平台，協助提升使用者互動與轉換成效。
我們的旅程始於智慧型廣告素材生成，目前正擴展至 AI Agents 與虛擬分身，打造更具人性化、更具互動性且可規模化的行銷解決方案。
我們的工程團隊來自不同國家與文化，重視透明溝通、團隊合作與工程品質，並樂於將具野心的想法轉化為實際落地的產品。
招募背景：
目前公司正同時強化以下兩個方向：
・既有廣告創意生成系統中，AI 模型、參數與提示（Prompt）的持續優化
・面向全公司部門的業務效率提升與自動化（DX 推進）
隨著服務數量與內部自動化需求不斷增加，我們希望招募一位 以實作為主的 AI DX 工程師（初級），協助推進這些工作。
在本職位中，整體方針、優先順序與技術方向將由資深工程師主導，您將在其指導下實際動手開發，累積 AI 與 DX 的實務經驗。
工作內容
AI・內容生成相關：
・針對既有內容生成 AI 進行，模型設定、參數、提示（Prompt）的調整與改善
・檢視生成結果、進行品質確認，並執行改善循環（PDCA）
・持續調校系統，以追求更高品質的生成成果
內部 DX・自動化相關：
・根據各部門需求，實作業務改善與自動化流程
・使用 Google Colab、n8n 等低程式工具，建構簡易內部系統
・使用 Python 等語言撰寫小型腳本
・既有自動化流程的改善與維護
本職位的特色：
・技術判斷由資深工程師負責，可先專注於實作並順利上手；設計工作將依成長狀況逐步交付
・能在實務中接觸 AI 模型、提示調整與自動化
・橫向支援公司多個部門，自然培養 DX 視角
・改善成果可立即在公司內部使用，並獲得即時回饋
我們期待這樣的你：
・希望以初級工程師身分扎實累積實務經驗
・對 AI 與生成技術感到興奮，並享受反覆嘗試與優化
・不只是被動執行，也能主動分享發現的改善點
・對「用技術解決公司內部問題」感到有成就感
你將獲得的成長：
・AI 模型與提示優化的實務經驗
・企業內部 DX 與自動化的實戰知識
・透過 PDCA 持續提升品質的思考方式
・未來成長為 AI 工程師、DX 工程師或產品導向工程師的基礎能力"
Yourator,41752,軟體工程師,【國泰集團】雲端應用工程師,國泰健康管理 Cathay HealthCare Management,40000,40000,1,0,https://www.yourator.co/companies/cathay-hcm/jobs/41752,"Azure,CI/CD,Git","【About Us】
歡迎加入「國泰健康管理」！我們是一個充滿活力、追求創新、以數據和科技驅動健康管理變革的團隊！在這裡，你將與一群熱愛科技、關心健康、充滿創造力的夥伴並肩作戰，共同探索智能健康的無限可能。 我們相信「想要健康不能靠感覺，而是基於精準數據的科學管理。」
我們的使命是：整合數位、數據和科技技術，打造個人化的健康管理解決方案，讓人人都能擁有健康自信的人生，實踐『健康就在生活裡，解方就在數據裡』。
【We Need You to …】
應用服務開發與維護
建立並維護 ETL Pipeline，支援數據轉換與應用。
開發與維護數據應用服務或網頁平台，確保穩定運作。
自動化與運維
建立與管理 Azure DevOps 或 GitLab CI/CD Pipeline，提升開發與部署效率。
持續監控系統效能，進行問題排查、升級與最佳化。"
Yourator,38126,數據工程師,數據工程師/Data Engineer,大數據股份有限公司,40000,40000,1,0,https://www.yourator.co/companies/BIGDATA/jobs/38126,"Agile,CI/CD,Docker,Git,HTML,Kubernetes,Linux,Python,Scrum","本公司為專業社群資料分析廠商，主要產品有《KEYPO大數據關鍵引擎》，透過深度學習在巨量社群資料中洞察網路口碑。本職務需熟悉web crawling techniques, automation, data storage, and data pipelines
【工作內容】
1.設計AI機器人(web crawler)架構，提升抓取的效率和品質
2.維護AI機器人(web crawler)可靠度與可用率
3.設計/優化資料管線與儲存架構
4.參與ETL設計與實作
5.RESTful API開發與維護
6.依能力調整Job Title(資深數據工程師/數據工程師)
【必要技能】
1.熟練運用AI工具進行開發上的協作
2.熟悉Python語法
3.充分了解HTML結構，能解析網頁交換資料的順序步驟
4.熟悉Git
5.熟悉Linux, Docker
6.熟悉web crawler套件與框架(如Scrapy、Puppeteer、Selenium)
【加分條件】
1.自動化測試：瞭解單元測試、整合測試或其他測試框架。
2.CI/CD 流程：在生產環境中曾使用 Jenkins、GitLab CI 等工具實現持續整合 與部署。
3.容器調度：熟悉 Docker Swarm、Kubernetes 等技術，建構高可用的微服務架構。
4.敏捷開發經驗：具備 Agile / Scrum 開發流程的實務經驗。
5.程式重構 / 大型專案架構設計：具備系統化思考與模組化拆分的能力。
6.Message Queue：如 RabbitMQ、Kafka等的使用經驗。"
